published,episode_number,duration,title,topics,episode_path,summary_path,chunk_count,transcript_chars
2026-05-05,398,01:16:05,"Kitchen Sink Episode: AG Semifinals Workouts, Del Mar & Magic City Recap, Telegram Q&A E.398",Semifinals; Games; Affiliate Programming; Zone 2; Accessory Work; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2026-05-05-e398-kitchen-sink-episode-ag-semifinals-workouts-del-mar-and-magic-city-rec/episode.md,episodes/2026-05-05-e398-kitchen-sink-episode-ag-semifinals-workouts-del-mar-and-magic-city-rec/summary.md,8,67091
2026-04-28,397,01:41:08,The Compound P.1: Misfit Affiliate. New Season. New Phase E.397,Open; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2026-04-28-e397-the-compound-p-1-misfit-affiliate-new-season-new-phase-e-397/episode.md,episodes/2026-04-28-e397-the-compound-p-1-misfit-affiliate-new-season-new-phase-e-397/summary.md,11,98329
2026-04-22,396,01:15:42,A CrossFitter's Guide to Accessory Work - E.396,Semifinals; Games; Affiliate Programming; Zone 2; Accessory Work; Competition Mindset; Nutrition,episodes/2026-04-22-e396-a-crossfitter-s-guide-to-accessory-work-e-396/episode.md,episodes/2026-04-22-e396-a-crossfitter-s-guide-to-accessory-work-e-396/summary.md,8,71056
2026-04-15,367.2,00:51:04,Throwback Episode: Training Smart AND Hard on Machines: The Misfit Gears Matrix 2.0 - E.367.2,Semifinals; Games; Affiliate Programming; Zone 2; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2026-04-15-e367-2-throwback-episode-training-smart-and-hard-on-machines-the-misfit-gears/episode.md,episodes/2026-04-15-e367-2-throwback-episode-training-smart-and-hard-on-machines-the-misfit-gears/summary.md,6,51408
2026-04-08,395,01:23:38,How to Attack Weaknesses Following Quarterfinals: Offseason Block 1 - E.395,Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Zone 2; Accessory Work; Competition Mindset; Weaknesses; Nutrition,episodes/2026-04-08-e395-how-to-attack-weaknesses-following-quarterfinals-offseason-block-1-e-3/episode.md,episodes/2026-04-08-e395-how-to-attack-weaknesses-following-quarterfinals-offseason-block-1-e-3/summary.md,9,77202
2026-03-31,394,01:06:51,"Quarterfinals Recap: Programming, results, rants, what's next, and urine surveillance? - E.394",Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Zone 2; Competition Mindset; Weaknesses; Nutrition,episodes/2026-03-31-e394-quarterfinals-recap-programming-results-rants-what-s-next-and-urine-su/episode.md,episodes/2026-03-31-e394-quarterfinals-recap-programming-results-rants-what-s-next-and-urine-su/summary.md,7,61733
2026-03-24,393,01:10:42,"Open Review / QF Preview: Misfit Leaderboards, Open Review, QF First Thoughts - E.393",Open; Quarterfinals; Semifinals; Affiliate Programming; Accessory Work; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-24-e393-open-review-qf-preview-misfit-leaderboards-open-review-qf-first-though/episode.md,episodes/2026-03-24-e393-open-review-qf-preview-misfit-leaderboards-open-review-qf-first-though/summary.md,8,65691
2026-03-12,392,00:55:51,"Open Workout 26.3: 26.2 Recap, Live reactions, warming up, strategizing, & more - E.392",Open; Quarterfinals; Games; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-12-e392-open-workout-26-3-26-2-recap-live-reactions-warming-up-strategizing-an/episode.md,episodes/2026-03-12-e392-open-workout-26-3-26-2-recap-live-reactions-warming-up-strategizing-an/summary.md,6,52905
2026-03-10,391,01:26:54,RUSHMORE: New Misfit Affiliate Phase - E.391,Open; Quarterfinals; Games; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-10-e391-rushmore-new-misfit-affiliate-phase-e-391/episode.md,episodes/2026-03-10-e391-rushmore-new-misfit-affiliate-phase-e-391/summary.md,9,85037
2026-03-05,390,01:13:26,"Open Workout 26.2: 26.1 Recap, Live reactions, warming up, strategizing, & more - E.390",Open; Quarterfinals; Semifinals; Affiliate Programming; Zone 2; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-05-e390-open-workout-26-2-26-1-recap-live-reactions-warming-up-strategizing-an/episode.md,episodes/2026-03-05-e390-open-workout-26-2-26-1-recap-live-reactions-warming-up-strategizing-an/summary.md,8,69977
2026-02-26,389,00:53:30,"Open Workout 26.1: Live reactions, warming up, strategizing, & more - E.389",Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Zone 2; Competition Mindset; Nutrition,episodes/2026-02-26-e389-open-workout-26-1-live-reactions-warming-up-strategizing-and-more-e-38/episode.md,episodes/2026-02-26-e389-open-workout-26-1-live-reactions-warming-up-strategizing-and-more-e-38/summary.md,6,51556
2026-02-17,388,01:38:15,"Leveling up: Quarterfinals to Semifinals, Semifinals to Games, and beyond - E.388",Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2026-02-17-e388-leveling-up-quarterfinals-to-semifinals-semifinals-to-games-and-beyond/episode.md,episodes/2026-02-17-e388-leveling-up-quarterfinals-to-semifinals-semifinals-to-games-and-beyond/summary.md,10,88012
2026-02-11,387,01:11:28,Quarterfinals Are Back: What to Expect and How to Prep - E.387,Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2026-02-11-e387-quarterfinals-are-back-what-to-expect-and-how-to-prep-e-387/episode.md,episodes/2026-02-11-e387-quarterfinals-are-back-what-to-expect-and-how-to-prep-e-387/summary.md,8,66606
2026-02-04,386,01:27:32,"A CrossFitter's Guide to Zone 2: What it is, what it does, how you do it, and if YOU should - E.386",Open; Games; Affiliate Programming; Zone 2; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2026-02-04-e386-a-crossfitter-s-guide-to-zone-2-what-it-is-what-it-does-how-you-do-it/episode.md,episodes/2026-02-04-e386-a-crossfitter-s-guide-to-zone-2-what-it-is-what-it-does-how-you-do-it/summary.md,9,82527
2026-01-28,385,01:06:04,"The Open is Coming: What to Expect, How to Execute, and Why it Matters - E.385",Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Accessory Work; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2026-01-28-e385-the-open-is-coming-what-to-expect-how-to-execute-and-why-it-matters-e/episode.md,episodes/2026-01-28-e385-the-open-is-coming-what-to-expect-how-to-execute-and-why-it-matters-e/summary.md,7,64297
2026-01-21,384,01:16:12,Mad Jack: New Misfit Affiliate Phase - E.384,Open; Quarterfinals; Affiliate Programming; Accessory Work; Gymnastics; Nutrition,episodes/2026-01-21-e384-mad-jack-new-misfit-affiliate-phase-e-384/episode.md,episodes/2026-01-21-e384-mad-jack-new-misfit-affiliate-phase-e-384/summary.md,8,76116
2026-01-14,383,01:03:50,"Listener Q&A: Zone 2, Online Qualifiers,  Competing, Work Ethic,  Nutrition, and more... E.383",Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Zone 2; Gymnastics; Competition Mindset; Nutrition,episodes/2026-01-14-e383-listener-q-and-a-zone-2-online-qualifiers-competing-work-ethic-nutriti/episode.md,episodes/2026-01-14-e383-listener-q-and-a-zone-2-online-qualifiers-competing-work-ethic-nutriti/summary.md,7,62004
2026-01-07,382,01:22:54,"Testing, Training, Competing: Knowing the difference and getting the most from each - E.382",Open; Quarterfinals; Semifinals; Affiliate Programming; Zone 2; Competition Mindset; Nutrition,episodes/2026-01-07-e382-testing-training-competing-knowing-the-difference-and-getting-the-most/episode.md,episodes/2026-01-07-e382-testing-training-competing-knowing-the-difference-and-getting-the-most/summary.md,9,80618
2025-12-31,381,01:17:43,Open Prep: 2026 Programming Continues into Phase 3 - E.381,Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Zone 2; Accessory Work; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2025-12-31-e381-open-prep-2026-programming-continues-into-phase-3-e-381/episode.md,episodes/2025-12-31-e381-open-prep-2026-programming-continues-into-phase-3-e-381/summary.md,8,79435
2025-12-26,3,00:06:11,Misfit Mind: Stop Starting Over - E.3,Affiliate Programming; Nutrition,episodes/2025-12-26-e3-misfit-mind-stop-starting-over-e-3/episode.md,episodes/2025-12-26-e3-misfit-mind-stop-starting-over-e-3/summary.md,1,5781
2025-12-23,380,01:10:37,Tiny Habits: How to talk to anyone - including yourself - about improving - E.380,Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Competition Mindset; Nutrition,episodes/2025-12-23-e380-tiny-habits-how-to-talk-to-anyone-including-yourself-about-improving-e/episode.md,episodes/2025-12-23-e380-tiny-habits-how-to-talk-to-anyone-including-yourself-about-improving-e/summary.md,8,66746
2025-12-19,2,00:06:03,Misfit Mind: Finite & Infinite Games - E.2,Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Competition Mindset; Weaknesses; Nutrition,episodes/2025-12-19-e2-misfit-mind-finite-and-infinite-games-e-2/episode.md,episodes/2025-12-19-e2-misfit-mind-finite-and-infinite-games-e-2/summary.md,1,5550
2025-12-16,379,01:02:58,"When More Isn’t Better: Paige Semenza on competition overload, recovery, and rebuilding momentum - E.379",Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2025-12-16-e379-when-more-isn-t-better-paige-semenza-on-competition-overload-recovery/episode.md,episodes/2025-12-16-e379-when-more-isn-t-better-paige-semenza-on-competition-overload-recovery/summary.md,7,59244
2025-12-12,1,00:08:02,Misfit Mind: Do it for you - E.1,Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2025-12-12-e1-misfit-mind-do-it-for-you-e-1/episode.md,episodes/2025-12-12-e1-misfit-mind-do-it-for-you-e-1/summary.md,1,7887
2025-12-02,378,01:23:19,WANJIRU: New Misfit Affiliate Phase - E.378,Open; Affiliate Programming; Zone 2; Gymnastics; Nutrition,episodes/2025-12-02-e378-wanjiru-new-misfit-affiliate-phase-e-378/episode.md,episodes/2025-12-02-e378-wanjiru-new-misfit-affiliate-phase-e-378/summary.md,9,81826
2025-11-26,377,01:36:33,Building Athlete IQ: What is it. How do you develop it. How is it different for coaches and athletes at all levels. - E.377,Open; Games; Affiliate Programming; Zone 2; Accessory Work; Competition Mindset; Nutrition,episodes/2025-11-26-e377-building-athlete-iq-what-is-it-how-do-you-develop-it-how-is-it-differe/episode.md,episodes/2025-11-26-e377-building-athlete-iq-what-is-it-how-do-you-develop-it-how-is-it-differe/summary.md,10,96076
2025-11-18,376,01:06:02,Breaking News: Full life chat episode. Hunter is an affiliate owner & Drew is moving!  - E.376,Open; Quarterfinals; Semifinals; Affiliate Programming; Competition Mindset; Weaknesses; Nutrition,episodes/2025-11-18-e376-breaking-news-full-life-chat-episode-hunter-is-an-affiliate-owner-and/episode.md,episodes/2025-11-18-e376-breaking-news-full-life-chat-episode-hunter-is-an-affiliate-owner-and/summary.md,7,63489
